staff_name,role,specialty,year,week,hours_worked
Dr. Zainab Omar,Registrar,Acute Care,2021,2,19
Dr. Zainab Omar,Registrar,Acute Care,2021,3,23
Dr. Zainab Omar,Registrar,Acute Care,2021,4,35
Dr. Zainab Omar,Registrar,Acute Care,2021,5,10
Dr. Zainab Omar,Registrar,Acute Care,2021,6,12
Dr. Zainab Omar,Registrar,Acute Care,2021,7,6
Dr. Zainab Omar,Registrar,Acute Care,2021,8,8
Dr. Zainab Omar,Registrar,Acute Care,2021,9,30
Dr. Zainab Omar,Registrar,Acute Care,2021,10,13
Dr. Zainab Omar,Registrar,Acute Care,2021,11,17
Dr. Zainab Omar,Registrar,Acute Care,2021,12,29
Dr. Zainab Omar,Registrar,Acute Care,2021,13,31
Dr. Zainab Omar,Registrar,Acute Care,2021,14,25
Dr. Zainab Omar,Registrar,Acute Care,2021,15,12
Dr. Zainab Omar,Registrar,Acute Care,2021,16,36
Dr. Zainab Omar,Registrar,Acute Care,2021,17,17
Dr. Zainab Omar,Registrar,Acute Care,2021,18,37
Dr. Zainab Omar,Registrar,Acute Care,2021,19,34
Dr. Zainab Omar,Registrar,Acute Care,2021,20,4
Dr. Zainab Omar,Registrar,Acute Care,2021,21,11
Dr. Zainab Omar,Registrar,Acute Care,2021,22,24
Dr. Zainab Omar,Registrar,Acute Care,2021,23,14
Dr. Zainab Omar,Registrar,Acute Care,2021,24,4
Dr. Zainab Omar,Registrar,Acute Care,2021,25,10
Dr. Zainab Omar,Registrar,Acute Care,2021,26,24
Dr. Zainab Omar,Registrar,Acute Care,2021,27,16
Dr. Zainab Omar,Registrar,Acute Care,2021,28,37
Dr. Zainab Omar,Registrar,Acute Care,2021,29,28
Dr. Zainab Omar,Registrar,Acute Care,2021,30,14
Dr. Zainab Omar,Registrar,Acute Care,2021,31,24
Dr. Zainab Omar,Registrar,Acute Care,2021,32,31
Dr. Zainab Omar,Registrar,Acute Care,2021,33,31
Dr. Zainab Omar,Registrar,Acute Care,2021,34,18
Dr. Zainab Omar,Registrar,Acute Care,2021,35,31
Dr. Zainab Omar,Registrar,Acute Care,2021,36,14
Dr. Zainab Omar,Registrar,Acute Care,2021,37,32
Dr. Zainab Omar,Registrar,Acute Care,2021,38,22
Dr. Zainab Omar,Registrar,Acute Care,2021,39,12
Dr. Zainab Omar,Registrar,Acute Care,2021,40,18
Dr. Zainab Omar,Registrar,Acute Care,2021,41,24
Dr. Zainab Omar,Registrar,Acute Care,2021,42,17
Dr. Zainab Omar,Registrar,Acute Care,2021,43,17
Dr. Zainab Omar,Registrar,Acute Care,2021,44,12
Dr. Zainab Omar,Registrar,Acute Care,2021,45,35
Dr. Zainab Omar,Registrar,Acute Care,2021,46,14
Dr. Zainab Omar,Registrar,Acute Care,2021,47,13
Dr. Zainab Omar,Registrar,Acute Care,2021,48,19
Dr. Zainab Omar,Registrar,Acute Care,2021,49,10
Dr. Zainab Omar,Registrar,Acute Care,2021,50,7
Dr. Zainab Omar,Registrar,Acute Care,2021,51,30
Dr. Zainab Omar,Registrar,Acute Care,2021,52,37
Dr. Zainab Omar,Registrar,Acute Care,2022,52,26
Dr. Zainab Omar,Registrar,Acute Care,2022,1,12
Dr. Zainab Omar,Registrar,Acute Care,2022,2,13
Dr. Zainab Omar,Registrar,Acute Care,2022,3,37
Dr. Zainab Omar,Registrar,Acute Care,2022,4,10
Dr. Zainab Omar,Registrar,Acute Care,2022,5,19
Dr. Zainab Omar,Registrar,Acute Care,2022,6,18
Dr. Zainab Omar,Registrar,Acute Care,2022,7,10
Dr. Zainab Omar,Registrar,Acute Care,2022,8,28
Dr. Zainab Omar,Registrar,Acute Care,2022,9,12
Dr. Zainab Omar,Registrar,Acute Care,2022,10,17
Dr. Zainab Omar,Registrar,Acute Care,2022,11,5
Dr. Zainab Omar,Registrar,Acute Care,2022,12,28
Dr. Zainab Omar,Registrar,Acute Care,2022,13,12
Dr. Zainab Omar,Registrar,Acute Care,2022,14,36
Dr. Zainab Omar,Registrar,Acute Care,2022,15,5
Dr. Zainab Omar,Registrar,Acute Care,2022,16,25
Dr. Zainab Omar,Registrar,Acute Care,2022,17,36
Dr. Zainab Omar,Registrar,Acute Care,2022,18,35
Dr. Zainab Omar,Registrar,Acute Care,2022,19,4
Dr. Zainab Omar,Registrar,Acute Care,2022,20,4
Dr. Zainab Omar,Registrar,Acute Care,2022,21,29
Dr. Zainab Omar,Registrar,Acute Care,2022,22,8
Dr. Zainab Omar,Registrar,Acute Care,2022,23,20
Dr. Zainab Omar,Registrar,Acute Care,2022,24,30
Dr. Zainab Omar,Registrar,Acute Care,2022,25,30
Dr. Zainab Omar,Registrar,Acute Care,2022,26,34
Dr. Zainab Omar,Registrar,Acute Care,2022,27,16
Dr. Zainab Omar,Registrar,Acute Care,2022,28,5
Dr. Zainab Omar,Registrar,Acute Care,2022,29,8
Dr. Zainab Omar,Registrar,Acute Care,2022,30,4
Dr. Zainab Omar,Registrar,Acute Care,2022,31,24
Dr. Zainab Omar,Registrar,Acute Care,2022,32,18
Dr. Zainab Omar,Registrar,Acute Care,2022,33,14
Dr. Zainab Omar,Registrar,Acute Care,2022,34,29
Dr. Zainab Omar,Registrar,Acute Care,2022,35,11
Dr. Zainab Omar,Registrar,Acute Care,2022,36,23
Dr. Zainab Omar,Registrar,Acute Care,2022,37,16
Dr. Zainab Omar,Registrar,Acute Care,2022,38,6
Dr. Zainab Omar,Registrar,Acute Care,2022,39,16
Dr. Zainab Omar,Registrar,Acute Care,2022,40,13
Dr. Zainab Omar,Registrar,Acute Care,2022,41,16
Dr. Zainab Omar,Registrar,Acute Care,2022,42,12
Dr. Zainab Omar,Registrar,Acute Care,2022,43,6
Dr. Zainab Omar,Registrar,Acute Care,2022,44,26
Dr. Zainab Omar,Registrar,Acute Care,2022,45,17
Dr. Zainab Omar,Registrar,Acute Care,2022,46,34
Dr. Zainab Omar,Registrar,Acute Care,2022,47,11
Dr. Zainab Omar,Registrar,Acute Care,2022,48,12
Dr. Zainab Omar,Registrar,Acute Care,2022,49,38
Dr. Zainab Omar,Registrar,Acute Care,2022,50,25
Dr. Zainab Omar,Registrar,Acute Care,2022,51,24
Dr. Zainab Omar,Registrar,Acute Care,2023,52,23
Dr. Zainab Omar,Registrar,Acute Care,2023,1,32
Dr. Zainab Omar,Registrar,Acute Care,2023,2,37
Dr. Zainab Omar,Registrar,Acute Care,2023,3,20
Dr. Zainab Omar,Registrar,Acute Care,2023,4,26
Dr. Zainab Omar,Registrar,Acute Care,2023,5,11
Dr. Zainab Omar,Registrar,Acute Care,2023,6,32
Dr. Zainab Omar,Registrar,Acute Care,2023,7,34
Dr. Zainab Omar,Registrar,Acute Care,2023,8,25
Dr. Zainab Omar,Registrar,Acute Care,2023,9,16
Dr. Zainab Omar,Registrar,Acute Care,2023,10,36
Dr. Zainab Omar,Registrar,Acute Care,2023,11,14
Dr. Zainab Omar,Registrar,Acute Care,2023,12,19
Dr. Zainab Omar,Registrar,Acute Care,2023,13,8
Dr. Zainab Omar,Registrar,Acute Care,2023,14,5
Dr. Zainab Omar,Registrar,Acute Care,2023,15,8
Dr. Zainab Omar,Registrar,Acute Care,2023,16,17
Dr. Zainab Omar,Registrar,Acute Care,2023,17,38
Dr. Zainab Omar,Registrar,Acute Care,2023,18,13
Dr. Zainab Omar,Registrar,Acute Care,2023,19,6
Dr. Zainab Omar,Registrar,Acute Care,2023,20,13
Dr. Zainab Omar,Registrar,Acute Care,2023,21,4
Dr. Zainab Omar,Registrar,Acute Care,2023,22,13
Dr. Zainab Omar,Registrar,Acute Care,2023,23,37
Dr. Zainab Omar,Registrar,Acute Care,2023,24,13
Dr. Zainab Omar,Registrar,Acute Care,2023,25,29
Dr. Zainab Omar,Registrar,Acute Care,2023,26,28
Dr. Zainab Omar,Registrar,Acute Care,2023,27,34
Dr. Zainab Omar,Registrar,Acute Care,2023,28,14
Dr. Zainab Omar,Registrar,Acute Care,2023,29,14
Dr. Zainab Omar,Registrar,Acute Care,2023,30,28
Dr. Zainab Omar,Registrar,Acute Care,2023,31,12
Dr. Zainab Omar,Registrar,Acute Care,2023,32,7
Dr. Zainab Omar,Registrar,Acute Care,2023,33,11
Dr. Zainab Omar,Registrar,Acute Care,2023,34,29
Dr. Zainab Omar,Registrar,Acute Care,2023,35,32
Dr. Zainab Omar,Registrar,Acute Care,2023,36,25
Dr. Zainab Omar,Registrar,Acute Care,2023,37,37
Dr. Zainab Omar,Registrar,Acute Care,2023,38,24
Dr. Zainab Omar,Registrar,Acute Care,2023,39,24
Dr. Zainab Omar,Registrar,Acute Care,2023,40,10
Dr. Zainab Omar,Registrar,Acute Care,2023,41,31
Dr. Zainab Omar,Registrar,Acute Care,2023,42,23
Dr. Zainab Omar,Registrar,Acute Care,2023,43,23
Dr. Zainab Omar,Registrar,Acute Care,2023,44,32
Dr. Zainab Omar,Registrar,Acute Care,2023,45,38
Dr. Zainab Omar,Registrar,Acute Care,2023,46,24
Dr. Zainab Omar,Registrar,Acute Care,2023,47,25
Dr. Zainab Omar,Registrar,Acute Care,2023,48,29
Dr. Zainab Omar,Registrar,Acute Care,2023,49,24
Dr. Zainab Omar,Registrar,Acute Care,2023,50,34
Dr. Zainab Omar,Registrar,Acute Care,2023,51,26
Dr. Zainab Omar,Registrar,Acute Care,2024,1,24
Dr. Zainab Omar,Registrar,Acute Care,2024,2,6
Dr. Zainab Omar,Registrar,Acute Care,2024,3,11
Dr. Zainab Omar,Registrar,Acute Care,2024,4,38
Dr. Zainab Omar,Registrar,Acute Care,2024,5,29
Dr. Zainab Omar,Registrar,Acute Care,2024,6,11
Dr. Zainab Omar,Registrar,Acute Care,2024,7,12
Dr. Zainab Omar,Registrar,Acute Care,2024,8,32
Dr. Zainab Omar,Registrar,Acute Care,2024,9,31
Dr. Zainab Omar,Registrar,Acute Care,2024,10,13
Dr. Zainab Omar,Registrar,Acute Care,2024,11,28
Dr. Zainab Omar,Registrar,Acute Care,2024,12,4
Dr. Zainab Omar,Registrar,Acute Care,2024,13,6
Dr. Zainab Omar,Registrar,Acute Care,2024,14,14
Dr. Zainab Omar,Registrar,Acute Care,2024,15,13
Dr. Zainab Omar,Registrar,Acute Care,2024,16,7
Dr. Zainab Omar,Registrar,Acute Care,2024,17,23
Dr. Zainab Omar,Registrar,Acute Care,2024,18,7
Dr. Zainab Omar,Registrar,Acute Care,2024,19,5
Dr. Zainab Omar,Registrar,Acute Care,2024,20,19
Dr. Zainab Omar,Registrar,Acute Care,2024,21,34
Dr. Zainab Omar,Registrar,Acute Care,2024,22,29
Dr. Zainab Omar,Registrar,Acute Care,2024,23,36
Dr. Zainab Omar,Registrar,Acute Care,2024,24,38
Dr. Zainab Omar,Registrar,Acute Care,2024,25,34
Dr. Zainab Omar,Registrar,Acute Care,2024,26,35
Dr. Zainab Omar,Registrar,Acute Care,2024,27,16
Dr. Zainab Omar,Registrar,Acute Care,2024,28,7
Dr. Zainab Omar,Registrar,Acute Care,2024,29,10
Dr. Zainab Omar,Registrar,Acute Care,2024,30,19
Dr. Zainab Omar,Registrar,Acute Care,2024,31,5
Dr. Zainab Omar,Registrar,Acute Care,2024,32,14
Dr. Zainab Omar,Registrar,Acute Care,2024,33,12
Dr. Zainab Omar,Registrar,Acute Care,2024,34,13
Dr. Zainab Omar,Registrar,Acute Care,2024,35,16
Dr. Zainab Omar,Registrar,Acute Care,2024,36,8
Dr. Zainab Omar,Registrar,Acute Care,2024,37,8
Dr. Zainab Omar,Registrar,Acute Care,2024,38,7
Dr. Zainab Omar,Registrar,Acute Care,2024,39,14
Dr. Zainab Omar,Registrar,Acute Care,2024,40,31
Dr. Zainab Omar,Registrar,Acute Care,2024,41,16
Dr. Zainab Omar,Registrar,Acute Care,2024,42,16
Dr. Zainab Omar,Registrar,Acute Care,2024,43,18
Dr. Zainab Omar,Registrar,Acute Care,2024,44,18
Dr. Zainab Omar,Registrar,Acute Care,2024,45,19
Dr. Zainab Omar,Registrar,Acute Care,2024,46,25
Dr. Zainab Omar,Registrar,Acute Care,2024,47,13
Dr. Zainab Omar,Registrar,Acute Care,2024,48,28
Dr. Zainab Omar,Registrar,Acute Care,2024,49,23
Dr. Zainab Omar,Registrar,Acute Care,2024,50,7
Dr. Zainab Omar,Registrar,Acute Care,2024,51,22
Dr. Zainab Omar,Registrar,Acute Care,2024,52,16
Dr. Zainab Omar,Registrar,Acute Care,2025,1,29
Dr. Zainab Omar,Registrar,Acute Care,2025,2,30
Dr. Zainab Omar,Registrar,Acute Care,2025,3,36
Dr. Zainab Omar,Registrar,Acute Care,2025,4,24
Dr. Zainab Omar,Registrar,Acute Care,2025,5,18
Dr. Zainab Omar,Registrar,Acute Care,2025,6,12
Dr. Zainab Omar,Registrar,Acute Care,2025,7,38
Dr. Zainab Omar,Registrar,Acute Care,2025,8,18
Dr. Zainab Omar,Registrar,Acute Care,2025,9,26
Dr. Zainab Omar,Registrar,Acute Care,2025,10,11
Dr. Zainab Omar,Registrar,Acute Care,2025,11,32
Dr. Zainab Omar,Registrar,Acute Care,2025,12,23
Dr. Zainab Omar,Registrar,Acute Care,2025,13,12
Dr. Zainab Omar,Registrar,Acute Care,2025,14,35
Dr. Zainab Omar,Registrar,Acute Care,2025,15,36
Dr. Zainab Omar,Registrar,Acute Care,2025,16,36
Dr. Zainab Omar,Registrar,Acute Care,2025,17,18
Dr. Zainab Omar,Registrar,Acute Care,2025,18,4
Dr. Zainab Omar,Registrar,Acute Care,2025,19,22
Dr. Zainab Omar,Registrar,Acute Care,2025,20,32
Dr. Zainab Omar,Registrar,Acute Care,2025,21,17
Dr. Zainab Omar,Registrar,Acute Care,2025,22,6
Dr. Zainab Omar,Registrar,Acute Care,2025,23,31
Dr. Zainab Omar,Registrar,Acute Care,2025,24,25
Dr. Zainab Omar,Registrar,Acute Care,2025,25,32
Dr. Zainab Omar,Registrar,Acute Care,2025,26,18
Dr. Zainab Omar,Registrar,Acute Care,2025,27,32
Dr. Zainab Omar,Registrar,Acute Care,2025,28,20
Dr. Zainab Omar,Registrar,Acute Care,2025,29,12
Dr. Zainab Omar,Registrar,Acute Care,2025,30,25
Dr. Zainab Omar,Registrar,Acute Care,2025,31,4
Dr. Zainab Omar,Registrar,Acute Care,2025,32,20
Dr. Zainab Omar,Registrar,Acute Care,2025,33,16
Dr. Zainab Omar,Registrar,Acute Care,2025,34,7
Dr. Zainab Omar,Registrar,Acute Care,2025,35,8
Dr. Zainab Omar,Registrar,Acute Care,2025,36,38
Dr. Zainab Omar,Registrar,Acute Care,2025,37,38
Dr. Zainab Omar,Registrar,Acute Care,2025,38,6
Dr. Zainab Omar,Registrar,Acute Care,2025,39,12
Dr. Zainab Omar,Registrar,Acute Care,2025,40,6
Dr. Zainab Omar,Registrar,Acute Care,2025,41,34
Dr. Zainab Omar,Registrar,Acute Care,2025,42,22
Dr. Zainab Omar,Registrar,Acute Care,2025,43,34
Dr. Zainab Omar,Registrar,Acute Care,2025,44,30
Dr. Zainab Omar,Registrar,Acute Care,2025,45,38
Dr. Zainab Omar,Registrar,Acute Care,2025,46,18
Dr. Zainab Omar,Registrar,Acute Care,2025,47,4
Dr. Zainab Omar,Registrar,Acute Care,2025,48,34
Dr. Zainab Omar,Registrar,Acute Care,2025,49,28
Dr. Zainab Omar,Registrar,Acute Care,2025,50,22
Dr. Zainab Omar,Registrar,Acute Care,2025,51,23
Dr. Zainab Omar,Registrar,Acute Care,2025,52,7
Dr. Thomas Anderson,Registrar,Acute Care,2020,1,11
Dr. Thomas Anderson,Registrar,Acute Care,2020,2,22
Dr. Thomas Anderson,Registrar,Acute Care,2020,3,22
Dr. Thomas Anderson,Registrar,Acute Care,2020,4,11
Dr. Thomas Anderson,Registrar,Acute Care,2020,5,18
Dr. Thomas Anderson,Registrar,Acute Care,2020,6,16
Dr. Thomas Anderson,Registrar,Acute Care,2020,7,10
Dr. Thomas Anderson,Registrar,Acute Care,2020,8,25
Dr. Thomas Anderson,Registrar,Acute Care,2020,9,38
Dr. Thomas Anderson,Registrar,Acute Care,2020,10,29
Dr. Thomas Anderson,Registrar,Acute Care,2020,11,16
Dr. Thomas Anderson,Registrar,Acute Care,2020,12,29
Dr. Thomas Anderson,Registrar,Acute Care,2020,13,16
Dr. Thomas Anderson,Registrar,Acute Care,2020,14,18
Dr. Thomas Anderson,Registrar,Acute Care,2020,15,22
Dr. Thomas Anderson,Registrar,Acute Care,2020,16,34
Dr. Thomas Anderson,Registrar,Acute Care,2020,17,6
Dr. Thomas Anderson,Registrar,Acute Care,2020,18,35
Dr. Thomas Anderson,Registrar,Acute Care,2020,19,30
Dr. Thomas Anderson,Registrar,Acute Care,2020,20,14
Dr. Thomas Anderson,Registrar,Acute Care,2020,21,38
Dr. Thomas Anderson,Registrar,Acute Care,2020,22,34
Dr. Thomas Anderson,Registrar,Acute Care,2020,23,37
Dr. Thomas Anderson,Registrar,Acute Care,2020,24,31
Dr. Thomas Anderson,Registrar,Acute Care,2020,25,25
Dr. Thomas Anderson,Registrar,Acute Care,2020,26,20
Dr. Thomas Anderson,Registrar,Acute Care,2020,27,6
Dr. Thomas Anderson,Registrar,Acute Care,2020,28,5
Dr. Thomas Anderson,Registrar,Acute Care,2020,29,4
Dr. Thomas Anderson,Registrar,Acute Care,2020,30,10
Dr. Thomas Anderson,Registrar,Acute Care,2020,31,38
Dr. Thomas Anderson,Registrar,Acute Care,2020,32,7
Dr. Thomas Anderson,Registrar,Acute Care,2020,33,11
Dr. Thomas Anderson,Registrar,Acute Care,2020,34,16
Dr. Thomas Anderson,Registrar,Acute Care,2020,35,23
Dr. Thomas Anderson,Registrar,Acute Care,2020,36,32
Dr. Thomas Anderson,Registrar,Acute Care,2020,37,26
Dr. Thomas Anderson,Registrar,Acute Care,2020,38,13
Dr. Thomas Anderson,Registrar,Acute Care,2020,39,13
Dr. Thomas Anderson,Registrar,Acute Care,2020,40,5
Dr. Thomas Anderson,Registrar,Acute Care,2020,41,37
Dr. Thomas Anderson,Registrar,Acute Care,2020,42,14
Dr. Thomas Anderson,Registrar,Acute Care,2020,43,17
Dr. Thomas Anderson,Registrar,Acute Care,2020,44,20
Dr. Thomas Anderson,Registrar,Acute Care,2020,45,24
Dr. Thomas Anderson,Registrar,Acute Care,2020,46,18
Dr. Thomas Anderson,Registrar,Acute Care,2020,47,35
Dr. Thomas Anderson,Registrar,Acute Care,2020,48,10
Dr. Thomas Anderson,Registrar,Acute Care,2020,49,12
Dr. Thomas Anderson,Registrar,Acute Care,2020,50,38
Dr. Thomas Anderson,Registrar,Acute Care,2020,51,8
Dr. Thomas Anderson,Registrar,Acute Care,2020,52,16
Dr. Thomas Anderson,Registrar,Acute Care,2020,53,5
Dr. Thomas Anderson,Registrar,Acute Care,2021,53,12
Dr. Thomas Anderson,Registrar,Acute Care,2021,1,11
Dr. Thomas Anderson,Registrar,Acute Care,2021,2,6
Dr. Thomas Anderson,Registrar,Acute Care,2021,3,19
Dr. Thomas Anderson,Registrar,Acute Care,2021,4,28
Dr. Thomas Anderson,Registrar,Acute Care,2021,5,36
Dr. Thomas Anderson,Registrar,Acute Care,2021,6,5
Dr. Thomas Anderson,Registrar,Acute Care,2021,7,26
Dr. Thomas Anderson,Registrar,Acute Care,2021,8,14
Dr. Thomas Anderson,Registrar,Acute Care,2021,9,19
Dr. Thomas Anderson,Registrar,Acute Care,2021,10,31
Dr. Thomas Anderson,Registrar,Acute Care,2021,11,11
Dr. Thomas Anderson,Registrar,Acute Care,2021,12,6
Dr. Thomas Anderson,Registrar,Acute Care,2021,13,14
Dr. Thomas Anderson,Registrar,Acute Care,2021,14,7
Dr. Thomas Anderson,Registrar,Acute Care,2021,15,12
Dr. Thomas Anderson,Registrar,Acute Care,2021,16,4
Dr. Thomas Anderson,Registrar,Acute Care,2021,17,14
Dr. Thomas Anderson,Registrar,Acute Care,2021,18,14
Dr. Thomas Anderson,Registrar,Acute Care,2021,19,24
Dr. Thomas Anderson,Registrar,Acute Care,2021,20,23
Dr. Thomas Anderson,Registrar,Acute Care,2021,21,24
Dr. Thomas Anderson,Registrar,Acute Care,2021,22,35
Dr. Thomas Anderson,Registrar,Acute Care,2021,23,28
Dr. Thomas Anderson,Registrar,Acute Care,2021,24,28
Dr. Thomas Anderson,Registrar,Acute Care,2021,25,37
Dr. Thomas Anderson,Registrar,Acute Care,2021,26,23
Dr. Thomas Anderson,Registrar,Acute Care,2021,27,36
Dr. Thomas Anderson,Registrar,Acute Care,2021,28,29
Dr. Thomas Anderson,Registrar,Acute Care,2021,29,17
Dr. Thomas Anderson,Registrar,Acute Care,2021,30,22
Dr. Thomas Anderson,Registrar,Acute Care,2021,31,11
Dr. Thomas Anderson,Registrar,Acute Care,2021,32,38
Dr. Thomas Anderson,Registrar,Acute Care,2021,33,10
Dr. Thomas Anderson,Registrar,Acute Care,2021,34,25
Dr. Thomas Anderson,Registrar,Acute Care,2021,35,28
Dr. Thomas Anderson,Registrar,Acute Care,2021,36,26
Dr. Thomas Anderson,Registrar,Acute Care,2021,37,35
Dr. Thomas Anderson,Registrar,Acute Care,2021,38,24
Dr. Thomas Anderson,Registrar,Acute Care,2021,39,22
Dr. Thomas Anderson,Registrar,Acute Care,2021,40,8
Dr. Thomas Anderson,Registrar,Acute Care,2021,41,20
Dr. Thomas Anderson,Registrar,Acute Care,2021,42,23
Dr. Thomas Anderson,Registrar,Acute Care,2021,43,5
Dr. Thomas Anderson,Registrar,Acute Care,2021,44,25
Dr. Thomas Anderson,Registrar,Acute Care,2021,45,8
Dr. Thomas Anderson,Registrar,Acute Care,2021,46,28
Dr. Thomas Anderson,Registrar,Acute Care,2021,47,30
Dr. Thomas Anderson,Registrar,Acute Care,2021,48,35
Dr. Thomas Anderson,Registrar,Acute Care,2021,49,34
Dr. Thomas Anderson,Registrar,Acute Care,2021,50,28
Dr. Thomas Anderson,Registrar,Acute Care,2021,51,7
Dr. Thomas Anderson,Registrar,Acute Care,2021,52,22
Dr. Thomas Anderson,Registrar,Acute Care,2022,52,24
Dr. Thomas Anderson,Registrar,Acute Care,2022,1,32
Dr. Thomas Anderson,Registrar,Acute Care,2022,2,20
Dr. Thomas Anderson,Registrar,Acute Care,2022,3,17
Dr. Thomas Anderson,Registrar,Acute Care,2022,4,16
Dr. Thomas Anderson,Registrar,Acute Care,2022,5,29
Dr. Thomas Anderson,Registrar,Acute Care,2022,6,6
Dr. Thomas Anderson,Registrar,Acute Care,2022,7,30
Dr. Thomas Anderson,Registrar,Acute Care,2022,8,32
Dr. Thomas Anderson,Registrar,Acute Care,2022,9,30
Dr. Thomas Anderson,Registrar,Acute Care,2022,10,37
Dr. Thomas Anderson,Registrar,Acute Care,2022,11,20
Dr. Thomas Anderson,Registrar,Acute Care,2022,12,35
Dr. Thomas Anderson,Registrar,Acute Care,2022,13,5
Dr. Thomas Anderson,Registrar,Acute Care,2022,14,28
Dr. Thomas Anderson,Registrar,Acute Care,2022,15,10
Dr. Thomas Anderson,Registrar,Acute Care,2022,16,10
Dr. Thomas Anderson,Registrar,Acute Care,2022,17,34
Dr. Thomas Anderson,Registrar,Acute Care,2022,18,25
Dr. Thomas Anderson,Registrar,Acute Care,2022,19,35
Dr. Thomas Anderson,Registrar,Acute Care,2022,20,7
Dr. Thomas Anderson,Registrar,Acute Care,2022,21,23
Dr. Thomas Anderson,Registrar,Acute Care,2022,22,4
Dr. Thomas Anderson,Registrar,Acute Care,2022,23,8
Dr. Thomas Anderson,Registrar,Acute Care,2022,24,37
Dr. Thomas Anderson,Registrar,Acute Care,2022,25,22
Dr. Thomas Anderson,Registrar,Acute Care,2022,26,5
Dr. Thomas Anderson,Registrar,Acute Care,2022,27,6
Dr. Thomas Anderson,Registrar,Acute Care,2022,28,10
Dr. Thomas Anderson,Registrar,Acute Care,2022,29,17
Dr. Thomas Anderson,Registrar,Acute Care,2022,30,18
Dr. Thomas Anderson,Registrar,Acute Care,2022,31,6
Dr. Thomas Anderson,Registrar,Acute Care,2022,32,14
Dr. Thomas Anderson,Registrar,Acute Care,2022,33,6
Dr. Thomas Anderson,Registrar,Acute Care,2022,34,36
Dr. Thomas Anderson,Registrar,Acute Care,2022,35,20
Dr. Thomas Anderson,Registrar,Acute Care,2022,36,24
Dr. Thomas Anderson,Registrar,Acute Care,2022,37,16
Dr. Thomas Anderson,Registrar,Acute Care,2022,38,26
Dr. Thomas Anderson,Registrar,Acute Care,2022,39,25
